gpu num: 8
prefix ./models/r50-arcface-retina/model
image_size [112, 112]
num_classes 93431
Called with argument: Namespace(batch_size=512, ckpt=3, ctx_num=8, ctx_num_classes=11679, dataset='retina', extra_model_name='', frequent=20, image_channel=3, kvstore='device', local_class_start=0, local_num_classes=93432, loss='arcface', lr=0.1, lr_steps='100000,160000,220000', models_root='./models', mom=0.9, network='r50', per_batch_size=64, pretrained='', pretrained_epoch=1, rescale_threshold=0, verbose=2000, wd=0.0005, worker_id=0) {'bn_mom': 0.9, 'workspace': 256, 'emb_size': 512, 'ckpt_embedding': True, 'net_se': 0, 'net_act': 'prelu', 'net_unit': 3, 'net_input': 1, 'net_blocks': [1, 4, 6, 2], 'net_output': 'E', 'net_multiplier': 1.0, 'val_targets': ['lfw', 'cfp_fp', 'agedb_30'], 'ce_loss': True, 'fc7_lr_mult': 1.0, 'fc7_wd_mult': 1.0, 'fc7_no_bias': False, 'max_steps': 0, 'data_rand_mirror': True, 'data_cutoff': False, 'data_color': 0, 'data_images_filter': 0, 'count_flops': True, 'memonger': False, 'loss_name': 'margin_softmax', 'loss_s': 64.0, 'loss_m1': 1.0, 'loss_m2': 0.5, 'loss_m3': 0.0, 'net_name': 'fresnet', 'num_layers': 50, 'dataset': 'retina', 'dataset_path': '../datasets/ms1m-retinaface', 'num_classes': 93431, 'image_shape': [112, 112, 3], 'loss': 'arcface', 'network': 'r50', 'num_workers': 1, 'batch_size': 512, 'per_batch_size': 64}
0 1 E 3 prelu False
Network FLOPs: 12.6G
INFO:root:loading recordio ../datasets/ms1m-retinaface/train.rec...
header0 label [5179511. 5272942.]
id2range 93431
5179510
rand_mirror True
loading bin 0
loading bin 1000
loading bin 2000
loading bin 3000
loading bin 4000
loading bin 5000
loading bin 6000
loading bin 7000
loading bin 8000
loading bin 9000
loading bin 10000
loading bin 11000
(12000, 3, 112, 112)
ver lfw
loading bin 0
loading bin 1000
loading bin 2000
loading bin 3000
loading bin 4000
loading bin 5000
loading bin 6000
loading bin 7000
loading bin 8000
loading bin 9000
loading bin 10000
loading bin 11000
loading bin 12000
loading bin 13000
(14000, 3, 112, 112)
ver cfp_fp
loading bin 0
loading bin 1000
loading bin 2000
loading bin 3000
loading bin 4000
loading bin 5000
loading bin 6000
loading bin 7000
loading bin 8000
loading bin 9000
loading bin 10000
loading bin 11000
(12000, 3, 112, 112)
ver agedb_30
lr_steps [100000, 160000, 220000]
call reset()in_bind
 False [('data', (512, 3, 112, 112))] [('softmax_label', (512,))]
_data_shape (512, 3, 112, 112) [('softmax_label', (512,))]
[18:18:28] src/kvstore/././comm.h:744: only 0 out of 56 GPU pairs are enabled direct access. It may affect the performance. You can set MXNET_ENABLE_GPU_P2P=0 to turn it off
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:28] src/kvstore/././comm.h:753: ........
[18:18:29] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (set the environment variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Iter[0] Batch [20]	Speed: 523.28 samples/sec
INFO:root:Iter[3] Batch [6020]	Speed: 842.23 samples/sec
INFO:root:Iter[3] Batch [6040]	Speed: 830.21 samples/sec
INFO:root:Iter[3] Batch [6060]	Speed: 856.34 samples/sec
INFO:root:Iter[3] Batch [6080]	Speed: 856.52 samples/sec
INFO:root:Iter[3] Batch [6100]	Speed: 830.62 samples/sec
INFO:root:Iter[3] Batch [6120]	Speed: 872.72 samples/sec
INFO:root:Iter[3] Batch [6140]	Speed: 858.20 samples/sec
INFO:root:Iter[3] Batch [6160]	Speed: 842.44 samples/sec
INFO:root:Iter[3] Batch [6180]	Speed: 855.85 samples/sec
INFO:root:Iter[3] Batch [6200]	Speed: 839.69 samples/sec
INFO:root:Iter[3] Batch [6220]	Speed: 861.96 samples/sec
INFO:root:Iter[3] Batch [6240]	Speed: 837.18 samples/sec
INFO:root:Iter[3] Batch [6260]	Speed: 875.12 samples/sec
INFO:root:Iter[3] Batch [6280]	Speed: 838.31 samples/sec
INFO:root:Iter[3] Batch [6300]	Speed: 883.26 samples/sec
INFO:root:Iter[3] Batch [6320]	Speed: 868.91 samples/sec
INFO:root:Iter[3] Batch [6340]	Speed: 855.06 samples/sec
INFO:root:Iter[3] Batch [6360]	Speed: 846.20 samples/sec
INFO:root:Iter[3] Batch [6380]	Speed: 865.05 samples/sec
INFO:root:Iter[3] Batch [6400]	Speed: 851.71 samples/sec
INFO:root:Iter[3] Batch [6420]	Speed: 868.57 samples/sec
INFO:root:Iter[3] Batch [6440]	Speed: 854.46 samples/sec
INFO:root:Iter[3] Batch [6460]	Speed: 843.96 samples/sec
INFO:root:Iter[3] Batch [6480]	Speed: 857.54 samples/sec
INFO:root:Iter[3] Batch [6500]	Speed: 859.42 samples/sec
INFO:root:Iter[3] Batch [6520]	Speed: 881.85 samples/sec
INFO:root:Iter[3] Batch [6540]	Speed: 884.89 samples/sec
INFO:root:Iter[3] Batch [6560]	Speed: 900.46 samples/sec
INFO:root:Iter[3] Batch [6580]	Speed: 889.43 samples/sec
INFO:root:Iter[3] Batch [6600]	Speed: 861.03 samples/sec
INFO:root:Iter[3] Batch [6620]	Speed: 880.30 samples/sec
INFO:root:Iter[3] Batch [6640]	Speed: 837.09 samples/sec
lr-batch-epoch: 0.1 6651 3
INFO:root:Iter[3] Batch [6660]	Speed: 854.86 samples/sec
INFO:root:Iter[3] Batch [6680]	Speed: 878.70 samples/sec
INFO:root:Iter[3] Batch [6700]	Speed: 878.44 samples/sec
INFO:root:Iter[3] Batch [6720]	Speed: 861.30 samples/sec
INFO:root:Iter[3] Batch [6740]	Speed: 889.96 samples/sec
INFO:root:Iter[3] Batch [6760]	Speed: 860.92 samples/sec
INFO:root:Iter[3] Batch [6780]	Speed: 878.37 samples/sec
INFO:root:Iter[3] Batch [6800]	Speed: 882.35 samples/sec
INFO:root:Iter[3] Batch [6820]	Speed: 880.63 samples/sec
INFO:root:Iter[3] Batch [6840]	Speed: 891.49 samples/sec
INFO:root:Iter[3] Batch [6860]	Speed: 838.50 samples/sec
INFO:root:Iter[3] Batch [6880]	Speed: 888.49 samples/sec
INFO:root:Iter[3] Batch [6900]	Speed: 887.96 samples/sec
INFO:root:Iter[3] Batch [6920]	Speed: 877.63 samples/sec
INFO:root:Iter[3] Batch [6940]	Speed: 883.02 samples/sec
INFO:root:Iter[3] Batch [6960]	Speed: 865.20 samples/sec
INFO:root:Iter[3] Batch [6980]	Speed: 864.55 samples/sec
INFO:root:Iter[3] Batch [7000]	Speed: 897.29 samples/sec
INFO:root:Iter[3] Batch [7020]	Speed: 893.65 samples/sec
INFO:root:Iter[3] Batch [7040]	Speed: 866.97 samples/sec
INFO:root:Iter[3] Batch [7060]	Speed: 853.16 samples/sec
INFO:root:Iter[3] Batch [7080]	Speed: 881.49 samples/sec
INFO:root:Iter[3] Batch [7100]	Speed: 871.95 samples/sec
INFO:root:Iter[3] Batch [7120]	Speed: 884.69 samples/sec
INFO:root:Iter[3] Batch [7140]	Speed: 897.67 samples/sec
INFO:root:Iter[3] Batch [7160]	Speed: 831.16 samples/sec
INFO:root:Iter[3] Batch [7180]	Speed: 892.33 samples/sec
INFO:root:Iter[3] Batch [7200]	Speed: 847.50 samples/sec
INFO:root:Iter[3] Batch [7220]	Speed: 891.76 samples/sec
INFO:root:Iter[3] Batch [7240]	Speed: 886.44 samples/sec
INFO:root:Iter[3] Batch [7260]	Speed: 901.54 samples/sec
INFO:root:Iter[3] Batch [7280]	Speed: 916.03 samples/sec
INFO:root:Iter[3] Batch [7300]	Speed: 884.82 samples/sec
INFO:root:Iter[3] Batch [7320]	Speed: 899.20 samples/sec
INFO:root:Iter[3] Batch [7340]	Speed: 884.97 samples/sec
INFO:root:Iter[3] Batch [7360]	Speed: 886.68 samples/sec
INFO:root:Iter[3] Batch [7380]	Speed: 888.89 samples/sec
INFO:root:Iter[3] Batch [7400]	Speed: 901.27 samples/sec
INFO:root:Iter[3] Batch [7420]	Speed: 895.42 samples/sec
INFO:root:Iter[3] Batch [7440]	Speed: 914.53 samples/sec
INFO:root:Iter[3] Batch [7460]	Speed: 899.06 samples/sec
INFO:root:Iter[3] Batch [7480]	Speed: 907.19 samples/sec
INFO:root:Iter[3] Batch [7500]	Speed: 867.77 samples/sec
INFO:root:Iter[3] Batch [7520]	Speed: 890.19 samples/sec
INFO:root:Iter[3] Batch [7540]	Speed: 852.71 samples/sec
INFO:root:Iter[3] Batch [7560]	Speed: 879.18 samples/sec
INFO:root:Iter[3] Batch [7580]	Speed: 885.03 samples/sec
INFO:root:Iter[3] Batch [7600]	Speed: 898.39 samples/sec
INFO:root:Iter[3] Batch [7620]	Speed: 878.96 samples/sec
INFO:root:Iter[3] Batch [7640]	Speed: 870.69 samples/sec
{fc7_acc} 38000 0.08203125
lr-batch-epoch: 0.1 7651 3
testing verification..
(12000, 512)
infer time 3.649617000000001
[lfw][38000]XNorm: 22.975183
[lfw][38000]Accuracy-Flip: 0.99450+-0.00308
testing verification..
(14000, 512)
infer time 4.339734999999999
[cfp_fp][38000]XNorm: 20.547486
[cfp_fp][38000]Accuracy-Flip: 0.94486+-0.01140
testing verification..
(12000, 512)
infer time 3.6477309999999985
[agedb_30][38000]XNorm: 22.862426
[agedb_30][38000]Accuracy-Flip: 0.95400+-0.00712
[38000]Accuracy-Highest: 0.95633
INFO:root:Iter[3] Batch [7660]	Speed: 296.24 samples/sec
INFO:root:Iter[3] Batch [7680]	Speed: 821.86 samples/sec
INFO:root:Iter[3] Batch [7700]	Speed: 854.55 samples/sec
INFO:root:Iter[3] Batch [7720]	Speed: 823.37 samples/sec
INFO:root:Iter[3] Batch [7740]	Speed: 832.89 samples/sec
INFO:root:Iter[3] Batch [7760]	Speed: 849.00 samples/sec
INFO:root:Iter[3] Batch [7780]	Speed: 843.96 samples/sec
INFO:root:Iter[3] Batch [7800]	Speed: 828.27 samples/sec
INFO:root:Iter[3] Batch [7820]	Speed: 852.04 samples/sec
INFO:root:Iter[3] Batch [7840]	Speed: 799.21 samples/sec
INFO:root:Iter[3] Batch [7860]	Speed: 800.78 samples/sec
INFO:root:Iter[3] Batch [7880]	Speed: 818.62 samples/sec
INFO:root:Iter[3] Batch [7900]	Speed: 842.11 samples/sec
INFO:root:Iter[3] Batch [7920]	Speed: 824.27 samples/sec
INFO:root:Iter[3] Batch [7940]	Speed: 831.92 samples/sec
INFO:root:Iter[3] Batch [7960]	Speed: 799.77 samples/sec
INFO:root:Iter[3] Batch [7980]	Speed: 857.63 samples/sec
INFO:root:Iter[3] Batch [8000]	Speed: 826.32 samples/sec
INFO:root:Iter[3] Batch [8020]	Speed: 845.75 samples/sec
INFO:root:Iter[3] Batch [8040]	Speed: 805.74 samples/sec
INFO:root:Iter[3] Batch [8060]	Speed: 858.93 samples/sec
INFO:root:Iter[3] Batch [8080]	Speed: 837.00 samples/sec
INFO:root:Iter[3] Batch [8100]	Speed: 873.38 samples/sec
INFO:root:Iter[3] Batch [8120]	Speed: 851.23 samples/sec
INFO:root:Iter[3] Batch [8140]	Speed: 868.59 samples/sec
INFO:root:Iter[3] Batch [8160]	Speed: 866.29 samples/sec
INFO:root:Iter[3] Batch [8180]	Speed: 842.45 samples/sec
INFO:root:Iter[3] Batch [8200]	Speed: 849.65 samples/sec
INFO:root:Iter[3] Batch [8220]	Speed: 835.44 samples/sec
INFO:root:Iter[3] Batch [8240]	Speed: 849.38 samples/sec
INFO:root:Iter[3] Batch [8260]	Speed: 866.09 samples/sec
INFO:root:Iter[3] Batch [8280]	Speed: 827.25 samples/sec
INFO:root:Iter[3] Batch [8300]	Speed: 856.54 samples/sec
INFO:root:Iter[3] Batch [8320]	Speed: 855.95 samples/sec
INFO:root:Iter[3] Batch [8340]	Speed: 889.32 samples/sec
INFO:root:Iter[3] Batch [8360]	Speed: 829.69 samples/sec
INFO:root:Iter[3] Batch [8380]	Speed: 869.78 samples/sec
INFO:root:Iter[3] Batch [8400]	Speed: 871.05 samples/sec
INFO:root:Iter[3] Batch [8420]	Speed: 886.56 samples/sec
INFO:root:Iter[3] Batch [8440]	Speed: 871.58 samples/sec
INFO:root:Iter[3] Batch [8460]	Speed: 894.65 samples/sec
INFO:root:Iter[3] Batch [8480]	Speed: 901.40 samples/sec
INFO:root:Iter[3] Batch [8500]	Speed: 868.04 samples/sec
INFO:root:Iter[3] Batch [8520]	Speed: 886.16 samples/sec
INFO:root:Iter[3] Batch [8540]	Speed: 869.63 samples/sec
INFO:root:Iter[3] Batch [8560]	Speed: 900.95 samples/sec
INFO:root:Iter[3] Batch [8580]	Speed: 884.79 samples/sec
INFO:root:Iter[3] Batch [8600]	Speed: 873.89 samples/sec
INFO:root:Iter[3] Batch [8620]	Speed: 890.28 samples/sec
INFO:root:Iter[3] Batch [8640]	Speed: 873.77 samples/sec
lr-batch-epoch: 0.1 8651 3
INFO:root:Iter[3] Batch [8660]	Speed: 875.00 samples/sec
INFO:root:Iter[3] Batch [8680]	Speed: 910.12 samples/sec
INFO:root:Iter[3] Batch [8700]	Speed: 875.62 samples/sec
INFO:root:Iter[3] Batch [8720]	Speed: 913.01 samples/sec
INFO:root:Iter[3] Batch [8740]	Speed: 857.41 samples/sec
INFO:root:Iter[3] Batch [8760]	Speed: 895.12 samples/sec
INFO:root:Iter[3] Batch [8780]	Speed: 881.15 samples/sec
INFO:root:Iter[3] Batch [8800]	Speed: 916.98 samples/sec
INFO:root:Iter[3] Batch [8820]	Speed: 859.90 samples/sec
INFO:root:Iter[3] Batch [8840]	Speed: 892.51 samples/sec
INFO:root:Iter[3] Batch [8860]	Speed: 900.14 samples/sec
INFO:root:Iter[3] Batch [8880]	Speed: 870.86 samples/sec
INFO:root:Iter[3] Batch [8900]	Speed: 883.04 samples/sec
INFO:root:Iter[3] Batch [8920]	Speed: 870.03 samples/sec
INFO:root:Iter[3] Batch [8940]	Speed: 881.53 samples/sec
INFO:root:Iter[3] Batch [8960]	Speed: 871.44 samples/sec
INFO:root:Iter[3] Batch [8980]	Speed: 890.98 samples/sec
INFO:root:Iter[3] Batch [9000]	Speed: 900.14 samples/sec
INFO:root:Iter[3] Batch [9020]	Speed: 894.26 samples/sec
INFO:root:Iter[3] Batch [9040]	Speed: 874.29 samples/sec
INFO:root:Iter[3] Batch [9060]	Speed: 865.99 samples/sec
INFO:root:Iter[3] Batch [9080]	Speed: 879.07 samples/sec
INFO:root:Iter[3] Batch [9100]	Speed: 872.01 samples/sec
INFO:root:Iter[3] Batch [9120]	Speed: 870.61 samples/sec
INFO:root:Iter[3] Batch [9140]	Speed: 888.93 samples/sec
INFO:root:Iter[3] Batch [9160]	Speed: 886.56 samples/sec
INFO:root:Iter[3] Batch [9180]	Speed: 897.61 samples/sec
INFO:root:Iter[3] Batch [9200]	Speed: 893.09 samples/sec
INFO:root:Iter[3] Batch [9220]	Speed: 863.88 samples/sec
INFO:root:Iter[3] Batch [9240]	Speed: 875.25 samples/sec
INFO:root:Iter[3] Batch [9260]	Speed: 854.95 samples/sec
INFO:root:Iter[3] Batch [9280]	Speed: 880.52 samples/sec
INFO:root:Iter[3] Batch [9300]	Speed: 885.75 samples/sec
INFO:root:Iter[3] Batch [9320]	Speed: 913.95 samples/sec
INFO:root:Iter[3] Batch [9340]	Speed: 894.38 samples/sec
INFO:root:Iter[3] Batch [9360]	Speed: 858.11 samples/sec
INFO:root:Iter[3] Batch [9380]	Speed: 898.15 samples/sec
INFO:root:Iter[3] Batch [9400]	Speed: 868.41 samples/sec
INFO:root:Iter[3] Batch [9420]	Speed: 891.91 samples/sec
INFO:root:Iter[3] Batch [9440]	Speed: 856.70 samples/sec
INFO:root:Iter[3] Batch [9460]	Speed: 927.78 samples/sec
INFO:root:Iter[3] Batch [9480]	Speed: 879.62 samples/sec
INFO:root:Iter[3] Batch [9500]	Speed: 885.31 samples/sec
INFO:root:Iter[3] Batch [9520]	Speed: 903.21 samples/sec
INFO:root:Iter[3] Batch [9540]	Speed: 886.76 samples/sec
INFO:root:Iter[3] Batch [9560]	Speed: 886.21 samples/sec
INFO:root:Iter[3] Batch [9580]	Speed: 895.02 samples/sec
INFO:root:Iter[3] Batch [9600]	Speed: 899.20 samples/sec
INFO:root:Iter[3] Batch [9620]	Speed: 926.69 samples/sec
INFO:root:Iter[3] Batch [9640]	Speed: 885.32 samples/sec
{fc7_acc} 40000 0.0859375
lr-batch-epoch: 0.1 9651 3
testing verification..
(12000, 512)
infer time 3.7630409999999994
[lfw][40000]XNorm: 23.362323
[lfw][40000]Accuracy-Flip: 0.99483+-0.00398
testing verification..
(14000, 512)
infer time 4.468310999999999
[cfp_fp][40000]XNorm: 20.334348
[cfp_fp][40000]Accuracy-Flip: 0.94529+-0.01096
testing verification..
(12000, 512)
infer time 3.8544110000000007
[agedb_30][40000]XNorm: 22.479364
[agedb_30][40000]Accuracy-Flip: 0.95050+-0.01152
[40000]Accuracy-Highest: 0.95633
INFO:root:Iter[3] Batch [9660]	Speed: 285.32 samples/sec
INFO:root:Iter[3] Batch [9680]	Speed: 710.58 samples/sec
INFO:root:Iter[3] Batch [9700]	Speed: 770.23 samples/sec
INFO:root:Iter[3] Batch [9720]	Speed: 756.44 samples/sec
INFO:root:Iter[3] Batch [9740]	Speed: 816.53 samples/sec
INFO:root:Iter[3] Batch [9760]	Speed: 782.93 samples/sec
INFO:root:Iter[3] Batch [9780]	Speed: 723.29 samples/sec
INFO:root:Iter[3] Batch [9800]	Speed: 835.71 samples/sec
INFO:root:Iter[3] Batch [9820]	Speed: 845.12 samples/sec
INFO:root:Iter[3] Batch [9840]	Speed: 782.35 samples/sec
INFO:root:Iter[3] Batch [9860]	Speed: 815.22 samples/sec
INFO:root:Iter[3] Batch [9880]	Speed: 835.18 samples/sec
INFO:root:Iter[3] Batch [9900]	Speed: 826.85 samples/sec
INFO:root:Iter[3] Batch [9920]	Speed: 727.33 samples/sec
INFO:root:Iter[3] Batch [9940]	Speed: 871.42 samples/sec
INFO:root:Iter[3] Batch [9960]	Speed: 874.77 samples/sec
INFO:root:Iter[3] Batch [9980]	Speed: 864.45 samples/sec
INFO:root:Iter[3] Batch [10000]	Speed: 832.65 samples/sec
INFO:root:Iter[3] Batch [10020]	Speed: 837.09 samples/sec
INFO:root:Iter[3] Batch [10040]	Speed: 819.80 samples/sec
INFO:root:Iter[3] Batch [10060]	Speed: 788.59 samples/sec
INFO:root:Iter[3] Batch [10080]	Speed: 807.61 samples/sec
INFO:root:Iter[3] Batch [10100]	Speed: 842.81 samples/sec
INFO:root:Epoch[3] Time cost=6139.363
call reset()
INFO:root:Iter[4] Batch [20]	Speed: 745.66 samples/sec
INFO:root:Iter[4] Batch [40]	Speed: 786.98 samples/sec
INFO:root:Iter[4] Batch [60]	Speed: 843.87 samples/sec
INFO:root:Iter[4] Batch [80]	Speed: 870.20 samples/sec
INFO:root:Iter[4] Batch [100]	Speed: 846.35 samples/sec
INFO:root:Iter[4] Batch [120]	Speed: 873.12 samples/sec
INFO:root:Iter[4] Batch [140]	Speed: 842.75 samples/sec
INFO:root:Iter[4] Batch [160]	Speed: 858.11 samples/sec
INFO:root:Iter[4] Batch [180]	Speed: 864.89 samples/sec
INFO:root:Iter[4] Batch [200]	Speed: 867.62 samples/sec
INFO:root:Iter[4] Batch [220]	Speed: 889.00 samples/sec
INFO:root:Iter[4] Batch [240]	Speed: 865.08 samples/sec
INFO:root:Iter[4] Batch [260]	Speed: 862.82 samples/sec
INFO:root:Iter[4] Batch [280]	Speed: 878.68 samples/sec
INFO:root:Iter[4] Batch [300]	Speed: 846.47 samples/sec
INFO:root:Iter[4] Batch [320]	Speed: 881.10 samples/sec
INFO:root:Iter[4] Batch [340]	Speed: 852.18 samples/sec
INFO:root:Iter[4] Batch [360]	Speed: 776.00 samples/sec
INFO:root:Iter[4] Batch [380]	Speed: 813.49 samples/sec
INFO:root:Iter[4] Batch [400]	Speed: 890.99 samples/sec
INFO:root:Iter[4] Batch [420]	Speed: 882.58 samples/sec
INFO:root:Iter[4] Batch [440]	Speed: 861.60 samples/sec
INFO:root:Iter[4] Batch [460]	Speed: 866.15 samples/sec
INFO:root:Iter[4] Batch [480]	Speed: 852.83 samples/sec
INFO:root:Iter[4] Batch [500]	Speed: 854.70 samples/sec
INFO:root:Iter[4] Batch [520]	Speed: 874.84 samples/sec
lr-batch-epoch: 0.1 535 4
INFO:root:Iter[4] Batch [540]	Speed: 897.63 samples/sec
INFO:root:Iter[4] Batch [560]	Speed: 831.16 samples/sec
INFO:root:Iter[4] Batch [580]	Speed: 897.21 samples/sec
INFO:root:Iter[4] Batch [600]	Speed: 845.40 samples/sec
INFO:root:Iter[4] Batch [620]	Speed: 852.08 samples/sec
INFO:root:Iter[4] Batch [640]	Speed: 860.29 samples/sec
INFO:root:Iter[4] Batch [660]	Speed: 886.83 samples/sec
INFO:root:Iter[4] Batch [680]	Speed: 852.23 samples/sec
INFO:root:Iter[4] Batch [700]	Speed: 854.90 samples/sec
INFO:root:Iter[4] Batch [720]	Speed: 844.80 samples/sec
INFO:root:Iter[4] Batch [740]	Speed: 914.27 samples/sec
INFO:root:Iter[4] Batch [760]	Speed: 839.13 samples/sec
INFO:root:Iter[4] Batch [780]	Speed: 849.31 samples/sec
INFO:root:Iter[4] Batch [800]	Speed: 860.90 samples/sec
INFO:root:Iter[4] Batch [820]	Speed: 884.31 samples/sec
INFO:root:Iter[4] Batch [840]	Speed: 837.79 samples/sec
INFO:root:Iter[4] Batch [860]	Speed: 893.93 samples/sec
INFO:root:Iter[4] Batch [880]	Speed: 840.34 samples/sec
INFO:root:Iter[4] Batch [900]	Speed: 851.95 samples/sec
INFO:root:Iter[4] Batch [920]	Speed: 886.71 samples/sec
INFO:root:Iter[4] Batch [940]	Speed: 912.12 samples/sec
INFO:root:Iter[4] Batch [960]	Speed: 880.26 samples/sec
INFO:root:Iter[4] Batch [980]	Speed: 858.75 samples/sec
INFO:root:Iter[4] Batch [1000]	Speed: 854.02 samples/sec
INFO:root:Iter[4] Batch [1020]	Speed: 879.06 samples/sec
INFO:root:Iter[4] Batch [1040]	Speed: 901.68 samples/sec
INFO:root:Iter[4] Batch [1060]	Speed: 853.80 samples/sec
INFO:root:Iter[4] Batch [1080]	Speed: 921.55 samples/sec
INFO:root:Iter[4] Batch [1100]	Speed: 877.83 samples/sec
INFO:root:Iter[4] Batch [1120]	Speed: 897.21 samples/sec
INFO:root:Iter[4] Batch [1140]	Speed: 902.25 samples/sec
INFO:root:Iter[4] Batch [1160]	Speed: 884.54 samples/sec
INFO:root:Iter[4] Batch [1180]	Speed: 837.57 samples/sec
INFO:root:Iter[4] Batch [1200]	Speed: 898.26 samples/sec
INFO:root:Iter[4] Batch [1220]	Speed: 886.13 samples/sec
INFO:root:Iter[4] Batch [1240]	Speed: 886.31 samples/sec
INFO:root:Iter[4] Batch [1260]	Speed: 865.32 samples/sec
INFO:root:Iter[4] Batch [1280]	Speed: 874.49 samples/sec
INFO:root:Iter[4] Batch [1300]	Speed: 849.54 samples/sec
INFO:root:Iter[4] Batch [1320]	Speed: 912.43 samples/sec
INFO:root:Iter[4] Batch [1340]	Speed: 881.34 samples/sec
INFO:root:Iter[4] Batch [1360]	Speed: 860.56 samples/sec
INFO:root:Iter[4] Batch [1380]	Speed: 883.85 samples/sec
INFO:root:Iter[4] Batch [1400]	Speed: 894.89 samples/sec
INFO:root:Iter[4] Batch [1420]	Speed: 876.65 samples/sec
INFO:root:Iter[4] Batch [1440]	Speed: 857.64 samples/sec
INFO:root:Iter[4] Batch [1460]	Speed: 819.93 samples/sec
INFO:root:Iter[4] Batch [1480]	Speed: 908.68 samples/sec
INFO:root:Iter[4] Batch [1500]	Speed: 859.51 samples/sec
INFO:root:Iter[4] Batch [1520]	Speed: 863.35 samples/sec
{fc7_acc} 42000 0.05078125
lr-batch-epoch: 0.1 1535 4
testing verification..
(12000, 512)
infer time 3.819207
[lfw][42000]XNorm: 22.373976
[lfw][42000]Accuracy-Flip: 0.99417+-0.00250
testing verification..
(14000, 512)
infer time 4.614007999999999
[cfp_fp][42000]XNorm: 19.673297
[cfp_fp][42000]Accuracy-Flip: 0.93843+-0.01426
testing verification..
(12000, 512)
infer time 3.6721259999999996
[agedb_30][42000]XNorm: 21.892939
[agedb_30][42000]Accuracy-Flip: 0.95450+-0.00823
[42000]Accuracy-Highest: 0.95633
INFO:root:Iter[4] Batch [1540]	Speed: 285.06 samples/sec
INFO:root:Iter[4] Batch [1560]	Speed: 851.66 samples/sec
INFO:root:Iter[4] Batch [1580]	Speed: 814.57 samples/sec
INFO:root:Iter[4] Batch [1600]	Speed: 849.03 samples/sec
INFO:root:Iter[4] Batch [1620]	Speed: 809.96 samples/sec
INFO:root:Iter[4] Batch [1640]	Speed: 836.82 samples/sec
INFO:root:Iter[4] Batch [1660]	Speed: 843.60 samples/sec
INFO:root:Iter[4] Batch [1680]	Speed: 815.64 samples/sec
INFO:root:Iter[4] Batch [1700]	Speed: 791.09 samples/sec
INFO:root:Iter[4] Batch [1720]	Speed: 859.05 samples/sec
INFO:root:Iter[4] Batch [1740]	Speed: 855.71 samples/sec
INFO:root:Iter[4] Batch [1760]	Speed: 860.97 samples/sec
INFO:root:Iter[4] Batch [1780]	Speed: 844.93 samples/sec
INFO:root:Iter[4] Batch [1800]	Speed: 839.58 samples/sec
INFO:root:Iter[4] Batch [1820]	Speed: 823.75 samples/sec
INFO:root:Iter[4] Batch [1840]	Speed: 870.25 samples/sec
INFO:root:Iter[4] Batch [1860]	Speed: 837.07 samples/sec
INFO:root:Iter[4] Batch [1880]	Speed: 869.03 samples/sec
INFO:root:Iter[4] Batch [1900]	Speed: 880.51 samples/sec
INFO:root:Iter[4] Batch [1920]	Speed: 864.86 samples/sec
INFO:root:Iter[4] Batch [1940]	Speed: 832.31 samples/sec
INFO:root:Iter[4] Batch [1960]	Speed: 856.36 samples/sec
INFO:root:Iter[4] Batch [1980]	Speed: 864.24 samples/sec
INFO:root:Iter[4] Batch [2000]	Speed: 801.93 samples/sec
INFO:root:Iter[4] Batch [2020]	Speed: 815.96 samples/sec
INFO:root:Iter[4] Batch [2040]	Speed: 867.79 samples/sec
INFO:root:Iter[4] Batch [2060]	Speed: 834.40 samples/sec
INFO:root:Iter[4] Batch [2080]	Speed: 858.64 samples/sec
INFO:root:Iter[4] Batch [2100]	Speed: 854.93 samples/sec
INFO:root:Iter[4] Batch [2120]	Speed: 825.07 samples/sec
INFO:root:Iter[4] Batch [2140]	Speed: 846.02 samples/sec
INFO:root:Iter[4] Batch [2160]	Speed: 871.73 samples/sec
INFO:root:Iter[4] Batch [2180]	Speed: 843.24 samples/sec
INFO:root:Iter[4] Batch [2200]	Speed: 878.25 samples/sec
INFO:root:Iter[4] Batch [2220]	Speed: 861.49 samples/sec
INFO:root:Iter[4] Batch [2240]	Speed: 865.88 samples/sec
INFO:root:Iter[4] Batch [2260]	Speed: 894.58 samples/sec
INFO:root:Iter[4] Batch [2280]	Speed: 875.98 samples/sec
INFO:root:Iter[4] Batch [2300]	Speed: 880.83 samples/sec
INFO:root:Iter[4] Batch [2320]	Speed: 882.81 samples/sec
INFO:root:Iter[4] Batch [2340]	Speed: 859.44 samples/sec
INFO:root:Iter[4] Batch [2360]	Speed: 884.94 samples/sec
INFO:root:Iter[4] Batch [2380]	Speed: 871.21 samples/sec
